label	x	y	z	classes	class_prob	sphere_scale	sphere_rotation	r	g	b
23171	1315.1038478884007	683.2876527352792	15.307999095143899	[17, 17, 17, 17, 17, 17, 26]	[0.00587407015209932, 0.0888280106101795, 0.0023990331564990694, 0.0037408505939642007, 0.02543408027978122, 0.578664450311995, 0.29395016783839373]	[26.265812840309756, 26.483916385498496, 26.868059702037467]	[0.027645884250399134, 0.13381464739063154, 2.2459333800672545]	255	255	255
23179	-1625.0645524105394	729.1188669635667	4.515832662046307	[17, 17, 17, 17, 17, 17, 17, 26]	[0.012523883007740185, 0.1096775336111781, 0.16434648445421873, 0.00187324298435695, 0.007029914215371136, 0.0322880356027295, 0.669859714658561, 0.0010528944977079124]	[26.20589071490519, 26.91300013324438, 26.082765871010405]	[1.5707963267948966, 0.0, -2.48482440509599]	255	255	255
23186	-1861.5433841109148	783.0136529367828	3.5583257554726373	[17, 17, 17, 17, 17, 17]	[0.005359040606472099, 0.09767388715821247, 0.14545027996057086, 0.1731402556923142, 0.28662898141233334, 0.29097029492348087]	[25.827956778914256, 26.896492269969336, 25.835580786345233]	[1.5707963267948966, 0.0, -3.0295429279078663]	255	255	255
23221	2546.8499039261355	1056.0364907508247	3.122835163774212	[17, 17, 17, 17, 17, 17]	[0.013767105189098731, 0.12502739660571904, 0.1093821444118244, 0.014020706853357722, 0.05305818124838494, 0.6825769843223145]	[27.280966530026838, 25.704499895620167, 26.468849754734215]	[-1.3909195156474088, 0.5787609972219362, -2.2355304510616634]	255	255	255
23227	1705.3889182028902	1090.0169480227987	-0.3514510713453234	[17, 17, 17, 17, 17, 17, 17, 17]	[0.024975952943540592, 0.0022791582168859895, 0.0015102550729262766, 0.10415301598174227, 0.17359908030066662, 0.07504679263403194, 0.28542804219647117, 0.3328457281786433]	[26.6242246054467, 25.94824958463203, 26.363767574061498]	[0.0, 0.0, -0.1675156204299334]	255	255	255
23234	729.3743655243929	1151.0890694361378	0.5118819342400514	[17, 17, 17, 17, 17, 17, 17, 17, 26]	[0.18093930859848223, 0.004862356868652267, 0.007426057538799298, 0.05546201428425227, 0.0017653557062363144, 0.013514534145505191, 0.007589914637808468, 0.477084990194327, 0.25019696897850563]	[26.26443029156211, 26.21845908032514, 26.603718643314824]	[0.0, 0.0, 0.0]	255	255	255
23251	-1981.7844066721325	1278.6088804868714	0.8702696646499959	[17, 17, 17, 17, 17, 17, 26]	[0.004729779913441684, 0.26827159003386863, 0.001704963062403433, 0.024288837321451158, 0.10821915564462764, 0.5792899069451117, 0.011537775606421405]	[25.8522682683355, 26.785272799428586, 27.14423272015518]	[-2.14444638282125, -0.3783813406617927, -0.8057815013018217]	255	255	255
23255	-317.70638174152646	1351.6327211380021	-60.097135363373724	[17, 17, 17, 17, 17, 17, 26]	[0.018931818469645013, 0.0029044151755477847, 0.11449739666829543, 0.007420995441471263, 0.0019070814807383809, 0.8468937843754558, 0.006085769904954472]	[27.3218890086235, 26.057533838811224, 26.183512444483704]	[1.5707963267948966, 0.0, -0.23416419943175312]	255	255	255
23274	640.3883343079619	1457.5808910743135	-59.27295957331785	[17, 17, 17, 17, 17, 17, 17, 26]	[0.01381500849044569, 0.0013153701275027728, 0.14515580641611675, 0.029804012451564752, 0.005810792651976324, 0.01755877473686071, 0.7818702727719725, 0.003922562628464774]	[26.551784849575384, 26.117836481600882, 26.344273954072094]	[0.0, 0.0, 0.0]	255	255	255
23283	-3879.6567351934655	1523.8914395430493	-6.690998638217948	[17, 17, 17, 17, 17, 20, 17, 26]	[0.017860653566467412, 0.10057189943110142, 0.0017507979649098503, 0.002764645845637442, 0.0091891294564028, 0.00206711108136504, 0.6237136456811878, 0.2415315871511098]	[26.35486460741403, 26.7883440796816, 26.75805020512302]	[-0.7624751495183587, 0.024532019970322602, 2.8731306464422124]	255	255	255
23315	-2584.4051379307325	1667.9438928073032	-57.88599591106668	[17, 17, 17, 17, 17, 17, 26]	[0.01926496438985656, 0.0015973205259984025, 0.09654126607001363, 0.002481982534359755, 0.0033719318553602435, 0.6971326014866999, 0.178680291245808]	[28.19004298347221, 26.05309147941137, 26.490470396603058]	[-0.21310505956237683, 0.6828790048616294, -1.8623207441444012]	255	255	255
23359	3395.418593549121	1868.4746525540568	-43.06002078521318	[17, 17, 17, 17, 17, 17, 17, 26]	[0.1812618485270741, 0.00897438784189483, 0.005827237673423854, 0.05336085522662617, 0.0020261849636975487, 0.002101593751820707, 0.5797558275202467, 0.16607663535803863]	[27.696209159587262, 26.488828860391248, 26.27475606784966]	[-1.5982009315827526, 0.41881281602906034, -1.647809560498848]	255	255	255
23368	3442.887391963752	1966.2530345464738	-20.77895719788637	[17, 17, 17, 17, 20, 17, 26]	[0.027221633614028587, 0.19537997017116404, 0.001038361283528576, 0.008678530823283823, 0.0024717057893752677, 0.44048720291196575, 0.3231286350244177]	[27.88778520825965, 26.470763042634083, 25.97729343065853]	[-1.2094580766530252, -0.043483463429211264, 0.5046889922661466]	255	255	255
23392	-578.7114527600966	2179.994292843753	-52.27875334445384	[17, 17, 17, 17, 17, 17, 17, 26]	[0.04578950518479431, 0.0010012234732172385, 0.08155627949137015, 0.011702991833011342, 0.010083807369145355, 0.025943172724095822, 0.6496372832386722, 0.1721331047137121]	[27.08299657638527, 26.609284459688222, 26.296672841900815]	[-1.2604924238427373, -0.04185593275742445, 0.21600617449774365]	255	255	255
23394	-2539.088005409194	2236.087967034433	-15.634384582689421	[17, 17, 17, 17, 17, 17, 17, 17, 26]	[0.09229278379384007, 0.0030921388804350026, 0.002645771656910342, 0.10275854175221377, 0.0010077894751913494, 0.007031743701868212, 0.0066928932994103395, 0.6796294302342949, 0.10383354931178888]	[26.356082472359386, 27.258048089160752, 26.82509391733609]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23452	3351.203327337396	2744.034190046076	-45.72908227477079	[17, 17, 17, 17, 20, 17, 26]	[0.013007119118080845, 0.3324443770635488, 0.0010016249714269606, 0.06768945149887534, 0.0014058872458069583, 0.5012404339384293, 0.0812905673183117]	[27.587293530693707, 25.898421077230626, 25.74096860031913]	[-0.1832885121611785, 0.06686337297215564, -0.37879684983619066]	255	255	255
23464	-3394.091490783233	2863.1600484849578	-58.08598103540738	[17, 17, 17, 17, 17, 17, 26]	[0.028545791901658703, 0.10721226583756781, 0.04167879447970357, 0.0037540298168905464, 0.0019849118809129275, 0.801190258434223, 0.012849505717273916]	[25.709716051928897, 26.34134627105974, 26.662622570597556]	[-1.616471326358622, -0.24002726851981768, 1.8567560946559691]	255	255	255
23467	-3399.0661535180093	2869.911766479032	-30.2169338411298	[17, 17, 26]	[0.3476490545000624, 0.6495654200764537, 0.0023262132383790298]	[26.262457677635986, 26.74452204186168, 26.85083427984106]	[1.5707963267948966, 0.0, -2.883256814106083]	255	255	255
23495	-2664.0992489093055	3100.2759297308094	-56.41549731821315	[17, 17, 17, 20, 17, 26]	[0.005547282248261091, 0.13081170318594926, 0.0019760913382705263, 0.002958168653315327, 0.6527918636024036, 0.20528460851459873]	[25.81797065698255, 27.50769898733093, 26.282794665572585]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23507	1685.6740027685023	3203.1674614123986	-8.038932075576355	[17, 17, 26]	[0.4209873376119332, 0.5718703602332174, 0.006494116189049754]	[26.492097400009435, 25.82735474464332, 27.512668722441642]	[0.222191813736256, 0.006473660679528985, -0.045531811172946995]	255	255	255
23548	-3376.197466153899	3591.039315942884	-1.4186571814699107	[17, 17, 17, 17, 17, 17]	[0.001335616621992327, 0.2860847968461329, 0.0036632833743958913, 0.14269121661548206, 0.004603542290798788, 0.5600127293982043]	[25.941963527105862, 26.583364173789548, 25.663538759647096]	[0.0, 0.0, -2.8352381624718994]	255	255	255
23549	-2234.4573215365317	3592.79333935435	-53.131682496365805	[17, 17, 17, 17, 17, 20, 17, 26]	[0.03110059800160446, 0.004015634440637525, 0.30753211937651276, 0.004785502692950345, 0.0016051008453611538, 0.0015710784723791764, 0.634921882210126, 0.013474452169713382]	[26.04537728535044, 27.09757905359539, 25.73359080218777]	[0.0, 0.0, 0.0]	255	255	255
23554	-3234.1618867927637	3643.9298301070457	-24.657660691522366	[17, 17, 17, 17, 17, 17, 17, 26]	[0.17094473587619094, 0.01244714047217293, 0.005665021870140486, 0.05831791194284133, 0.0027503735604403755, 0.0014841239061678237, 0.6453736285817547, 0.10249451240738189]	[27.231761580607262, 26.409134739955945, 26.269842027987444]	[-1.3630036693374008, 0.3290813709428518, 0.8831355042761805]	255	255	255
23562	2915.9169022492338	-4081.352213984371	-56.30535353860162	[17, 17, 17, 17, 20, 17, 26]	[0.05697399935844573, 0.0021184261913750157, 0.05161213096682336, 0.00241802285681869, 0.0012120809026544238, 0.5717120622151343, 0.3118300034169783]	[26.237461699097445, 27.007613640664836, 26.326183134920772]	[0.0, 0.0, -2.518736374939431]	255	255	255
23563	-3816.857338002005	-4103.152104403448	-5.897600933831768	[17, 17, 17, 17, 17, 17, 17]	[0.01180978258680921, 0.005823964764831308, 0.1329304994083805, 0.05237588698986815, 0.10567613711414854, 0.19984997741236135, 0.49085693954557763]	[25.584725835961432, 27.576161079568365, 25.557162030221384]	[1.5707963267948966, 0.0, -2.5994659771622666]	255	255	255
23570	-2535.842021757005	-4052.305642938937	-51.281087079176785	[17, 17, 17, 17, 17, 20, 17, 26]	[0.005700229074781314, 0.2827021849653959, 0.0014354792924231852, 0.041543554186066714, 0.00464858316826261, 0.0011716297439418283, 0.6072198423373986, 0.05427687716308042]	[26.52285180533933, 25.780825111295165, 25.62985913884218]	[-0.14132849243868398, -0.03388164792500438, 0.4206436167107858]	255	255	255
23579	2871.3488546771127	-3943.104077064162	-12.981054343628614	[17, 17, 26]	[0.44588526331382006, 0.5309830585067052, 0.022330048825161382]	[26.020462435440976, 27.023310923917748, 27.27502938796269]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23582	259.8748237162649	-3912.404729496515	-25.929940644054042	[17, 17, 17, 17, 17, 17, 17, 17]	[0.01195522191707449, 0.002140590130886764, 0.0012066648359706847, 0.12353385760751033, 0.22476684680495956, 0.046437504072693835, 0.26572527787511735, 0.32417427913831354]	[25.667250588928496, 26.310976554286974, 26.353693342369603]	[0.0, 0.0, 0.0]	255	255	255
23589	1716.142866882245	-3867.5269081807564	4.507368468513917	[17, 17, 17, 17, 17, 26]	[0.011412879874097656, 0.08204798832266631, 0.0021339100441493627, 0.0020073650743940626, 0.7548215817807465, 0.14620870387918378]	[26.357097511903767, 26.598970534393118, 26.59276672318294]	[1.5707963267948966, 0.0, -2.9924222882894935]	255	255	255
23595	-1588.3721837771436	-3734.5754067418015	-46.48599934955779	[17, 17, 17, 17, 17, 17, 26]	[0.01207923463577851, 0.06517128262268128, 0.002009457667118411, 0.0018346465585049982, 0.00561825134445401, 0.5207383113587594, 0.3912796590030003]	[26.75315580965357, 26.556654694997512, 26.89193311313977]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23621	-511.53080515533156	-3594.2724931621105	33.44331529325747	[17, 17, 17, 17, 20, 17, 26]	[0.02320947148035481, 0.0014014646084582285, 0.31875123965790647, 0.015130944598763319, 0.0011439731996787357, 0.5699418744613334, 0.06927206279012277]	[26.758103643268935, 25.794305293558804, 26.23713766411982]	[0.0, 0.0, -0.46127152467256666]	255	255	255
23632	26.300101518157135	-3533.8441969446585	-12.959533079212633	[17, 17, 17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.2117272654433575, 0.004103585307219084, 0.0010455100643975994, 0.15571702572174517, 0.005131199867257219, 0.01092288409945093, 0.06569064425388675, 0.0011553962122334944, 0.007228394988361949, 0.5186239616863478, 0.017862460304621037]	[27.374354371710897, 26.013796423068175, 26.578565681366094]	[1.5707963267948966, 0.0, -0.4171922022468692]	255	255	255
23665	-1508.053313342325	-3206.5105949668778	-28.589041605695414	[17, 17, 17, 17, 17, 26]	[0.030022128770276966, 0.0029738083084398033, 0.40590000137004845, 0.015564761847120342, 0.5251412962227838, 0.019207466812035622]	[27.066302542714034, 25.976154118407003, 28.62115075519135]	[1.5707963267948966, 0.0, -0.4005887549378841]	255	255	255
23668	3035.317507512437	-3245.7769199718955	-54.803457418689675	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.03974497597457966, 0.003639966186717255, 0.00141498437131535, 0.10225023057986439, 0.0019780923902753297, 0.0017794721532324016, 0.001336557875794262, 0.7163822504370861, 0.1309489570710227]	[26.22741477911187, 27.120703175958567, 27.150106012615904]	[0.7792483432587601, 0.10898513758330966, -1.5744850333560676]	255	255	255
23700	2433.2649846918544	-3119.431389469247	-49.820651236666535	[17, 17, 17, 17, 17, 17, 17, 17, 26]	[0.09548724843569999, 0.004905327275695423, 0.002256197714627237, 0.17244127732865033, 0.003028397850567519, 0.008010961943383832, 0.020249857385984175, 0.6333823233262906, 0.058848502101715605]	[27.211452973018265, 25.93768458397771, 26.358006656927664]	[-0.8634515152809651, 0.053865926167258146, 0.8350478110465769]	255	255	255
23703	-611.156800699463	-3115.230923375189	-42.559547259799814	[17, 17, 17, 17, 17, 26]	[0.011326965505635599, 0.10179878991225819, 0.0027008239395531074, 0.0026051819938667973, 0.7627205877872122, 0.117349074398315]	[27.385889464250138, 26.209904549718747, 27.708041460646136]	[0.0, 0.0, -0.4688418581653575]	255	255	255
23888	-436.93901185927507	-2347.6155128652204	-55.953978009814406	[17, 17, 17, 20, 17, 26]	[0.014904035265333305, 0.47581927993958684, 0.001738415682212161, 0.012443996382116924, 0.4850944732668978, 0.00832609833795471]	[25.547657500847254, 25.95004457808875, 26.784310443280276]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23916	-1584.90273800756	-2307.3637085685486	-59.32747106289997	[17, 17, 17, 17, 17, 17, 26]	[0.11252996695264901, 0.010836429917930079, 0.0017188459174169218, 0.2330132140785125, 0.022731256679448305, 0.43636223560791193, 0.181825143183714]	[27.07784973992571, 26.325141141244085, 27.14374898334596]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23918	1652.1718944512472	-2276.868159339063	-53.653650470251044	[17, 17, 17, 17, 26]	[0.0031910891753520695, 0.19932856039106717, 0.0013071082912636813, 0.7790503194240852, 0.01640975011599017]	[26.976625282792178, 26.67699871333409, 25.959185613630073]	[-1.3822948224703966, 0.10199929729319221, 0.5796463429393447]	255	255	255
23959	1383.4921068327708	-2160.89538194868	-17.288637160442704	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.020504156019440205, 0.0010622935695455884, 0.1818506800222169, 0.0013089491139909317, 0.0019007450709907058, 0.012434610597983814, 0.0015897229287303888, 0.45707744114930043, 0.3216918224329056]	[27.70274813382021, 26.158799385380533, 26.809873674990392]	[-1.6457424006003116, 0.05291633829175065, 0.3560385865884481]	255	255	255
23972	1670.3826120232375	-2076.665572754652	2.5970627240962187	[17, 17, 17, 17, 26]	[0.005787433526543445, 0.10837256120290097, 0.002328066502581447, 0.7096252037241105, 0.17212276575704025]	[26.417325299435937, 26.727070587597897, 26.80079915238997]	[0.0, 1.5707963267948966, 0.0]	255	255	255
23996	-1153.045708311577	-1864.5915517678973	-55.798391963346354	[17, 17, 17, 17, 17, 20, 17, 26]	[0.032804432672754416, 0.0014182968066356137, 0.17538376203417214, 0.002093489461327848, 0.035674598221650075, 0.009579257389625031, 0.3888637807907613, 0.35273165108107735]	[26.37023841987029, 26.16015154171027, 26.76012475184003]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24000	-2166.801158133878	-1830.7365608333812	33.301145788395544	[17, 17, 17, 17, 17, 17, 17, 26]	[0.027775137409303503, 0.001402280325383634, 0.3530993440850425, 0.0022431613149311363, 0.21399301125466447, 0.0017395957893824765, 0.39058159859889413, 0.007604106618579978]	[28.755846585380233, 25.887610458919518, 25.562525724041006]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24007	-1991.5312734420932	-1765.607535739101	-17.30787602362858	[17, 17, 17, 17, 17, 17, 17, 26]	[0.11770252637735204, 0.008655229082674614, 0.002875190338121149, 0.05940558788278131, 0.0011810525845415737, 0.005152566964665871, 0.5362540251319811, 0.268237922662585]	[26.344876618755034, 26.967667620861903, 26.674338910450686]	[-0.9060485053122728, -0.1219848462157258, -0.730619770828835]	255	255	255
24008	-1718.7927907068433	-1782.4360180370627	2.9323305393773325	[17, 17, 17, 17, 26]	[0.0019320589291746298, 0.1861919899839381, 0.0025717503719384703, 0.554513774142058, 0.2540020398182186]	[27.051764704320696, 26.410287561229303, 26.12065238812656]	[-0.40819416686882815, -0.1360679358086089, 1.4931364700757936]	255	255	255
24017	2959.429501617638	-1592.8406998832656	-52.4729451462227	[17, 17, 17, 26]	[0.0026537260125921707, 0.2267825945483713, 0.7531626054308904, 0.01598999896176681]	[26.286316681903582, 26.48393154132537, 26.32543369185271]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24050	1427.2085275674458	-1117.1717058481731	19.59649508276287	[17, 17, 17, 17, 17, 20, 17, 26]	[0.041409739614974586, 0.08508250017579999, 0.015452391293133074, 0.021443537127009027, 0.01446965386893976, 0.0029765041449318, 0.7248035007400901, 0.09280091415582498]	[26.764075757339782, 26.146799603581247, 26.130066833811767]	[0.0, 0.0, -0.7083145925697195]	255	255	255
24051	-3834.4652732610098	-1084.248250403658	4.067326536812956	[17, 17, 17, 17, 17, 26]	[0.007674490736798088, 0.06278431380121302, 0.001221203580078127, 0.003218804638615558, 0.5243963296839175, 0.39969700994729135]	[26.62047946047038, 26.442003003748326, 26.390126746322803]	[-1.588157866855158, 0.05513476003825058, 1.1713421043239909]	255	255	255
24053	-708.174102054475	-1066.2995054598186	-14.164601053178714	[17, 17, 17, 17, 17, 17, 26]	[0.018290570436380965, 0.13739573253318865, 0.006391038099192386, 0.0060023506448348245, 0.012168276577339984, 0.6416456797283557, 0.17562540517512285]	[25.907550835923566, 26.139472516335793, 26.730609746678503]	[1.5707963267948966, 0.0, -2.397140843294076]	255	255	255
24054	-3792.4245500965408	-1056.1395402353178	-47.62740175290751	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.009214977891086997, 0.050137046857909866, 0.16840073757457213, 0.05278293189101881, 0.014495458145064453, 0.0016606664145911883, 0.0031212651378757957, 0.4311959263968626, 0.26839140064986977]	[26.922902665479086, 26.257091562885666, 26.55467667776962]	[-1.3180155885598623, -0.1542486715685411, 0.9867085066809963]	255	255	255
24074	-3666.547564361775	-708.9733217767798	-0.1611575304091417	[17, 17, 17, 17, 17, 17, 26]	[0.0032791648664277084, 0.16024729621744754, 0.0015420649214343133, 0.003813392486887982, 0.003808107084839016, 0.6888738491074587, 0.1379569799175362]	[26.02737094664824, 26.78259502274589, 26.597792115763614]	[1.5707963267948966, 0.0, -2.3932742933087696]	255	255	255
24119	-497.51933471715256	-310.7065068614497	-24.07535096742471	[17, 17, 17, 17, 17, 20, 17, 26]	[0.01084391166352874, 0.2847915384155253, 0.0036928672094078126, 0.08434304179671538, 0.04112323940076921, 0.0022114157654628624, 0.5671534063415472, 0.004142013720026419]	[25.551476819089643, 26.174012527685196, 26.939231463739517]	[-2.1417861691286606, -0.12556135361818785, 2.7097880994392614]	255	255	255
24129	19.908954795384034	-140.013336903065	13.321354428652839	[17, 17, 17, 17, 17, 20, 17, 26]	[0.026921357523084437, 0.12806939513592816, 0.002964549783906811, 0.0016705191367770184, 0.01770063628260682, 0.008310206535556608, 0.5670489745955054, 0.2464941062025926]	[27.240038620717222, 26.14581485776413, 26.394808892500244]	[-0.15539615198563864, 0.22744928797898342, 1.0978288296639331]	255	255	255
24161	-2300.0748575172975	188.65993083573994	4.688286402217699	[17, 17, 17, 17, 17, 17, 20, 17, 26]	[0.011692424866758054, 0.17774483494866392, 0.0014035422694592494, 0.13332946817549884, 0.0011737878377005128, 0.0016992722223961778, 0.05192238077112673, 0.6160006780853647, 0.0027735887810436195]	[27.528063469547213, 26.013696528248403, 26.325897107272567]	[1.5707963267948966, 0.0, -0.07854147259129536]	255	255	255
24172	-2602.02940656168	281.1664299545055	-0.24541008421014965	[17, 17, 17, 17, 17, 17, 17, 17, 26]	[0.11979130819435596, 0.022654985042284814, 0.003275555291863656, 0.25731181754806837, 0.03116788431658594, 0.0030416493539241144, 0.016309101037743284, 0.5430557367901339, 0.002937376196843698]	[26.42333437684412, 25.670179350226004, 25.903309381977]	[-1.3616243048861671, -0.49507020369999294, -1.8921301314180068]	255	255	255
24199	2785.1034538156823	434.9223801763146	10.736589871354795	[17, 17, 17, 17, 17, 17, 17, 17, 26]	[0.15772577279567543, 0.004193361032735606, 0.07345657685902421, 0.04962395231429529, 0.0421003856291307, 0.04031226779868201, 0.00310086472181445, 0.5494297447365324, 0.07767909747874162]	[26.034871642466612, 26.56415529386978, 26.50273226959796]	[0.0, 0.0, -2.436040710469095]	255	255	255
24224	3229.0656395610363	546.860399756999	8.80018832427264	[17, 17, 17, 17, 17, 17, 26]	[0.014637507560748718, 0.1072120564145948, 0.037836775358882115, 0.0024661637193018173, 0.004420167322216735, 0.8242000545335196, 0.0070999374225507875]	[26.873809840070667, 26.35629635268021, 26.499448562056493]	[-1.2319753439414685, 0.7452921661760691, -1.910877927685553]	255	255	255
24229	-2881.7234635576565	589.1886400118537	8.527802032939107	[17, 17, 17, 17, 17, 17, 26]	[0.018599752460438667, 0.14548774666016417, 0.0013438794848848862, 0.02724473567442513, 0.01043292275423002, 0.7824409361781836, 0.012709667024986944]	[25.89848319788669, 26.562432547140983, 26.232596354397277]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24244	-2124.49251944558	724.0416566130998	-8.690444736869082	[17, 17, 17, 26]	[0.18410908149266622, 0.01284898487014292, 0.7933989424228164, 0.007285084454076054]	[26.015006807196887, 26.719391637272945, 26.28047704304238]	[0.0, 0.0, -2.3623750504646575]	255	255	255
24267	-1523.364076493464	951.6136108655301	32.04548985431377	[17, 17, 17, 17, 17, 17, 17, 26]	[0.02183053725183954, 0.22035183595478042, 0.006853750207288809, 0.07897471861043918, 0.02208619821493921, 0.004033147936270426, 0.6343248841802723, 0.009351505103475525]	[26.54420498495184, 26.17365404968131, 26.049870437701394]	[-1.0185711469813856, -0.007526248445242503, 0.19733996083724215]	255	255	255
24286	653.3381099249159	1096.8188386553493	10.28064888032479	[17, 17, 17, 17, 17, 20, 17, 26]	[0.005705850992034192, 0.13146838747931, 0.0085605294362303, 0.01285493828194716, 0.005601160838979472, 0.0012257229334521867, 0.7522031080774841, 0.08191197333159937]	[26.815476042870174, 26.33031509844372, 25.920999381167444]	[0.0, 0.0, -0.2322732102397483]	255	255	255
24292	-754.5593105211628	1114.484573239969	8.98293235626204	[17, 17, 17, 17, 17, 26]	[0.00393270908854691, 0.22823660013050576, 0.007580724781702103, 0.06909907662811027, 0.6636863199118942, 0.025979383709873634]	[25.887198804687344, 26.183668669448693, 26.42928076039572]	[0.21795356842861083, 0.5498386108191642, -0.8860210732384733]	255	255	255
24295	1224.062304605723	1074.4504505379964	-43.57129695724524	[17, 17, 17, 17, 17, 17, 26]	[0.041985625065548274, 0.0664869407363023, 0.013051636344705696, 0.006557218900695745, 0.016489354871442374, 0.6107865685945809, 0.24244052975650918]	[26.544993201483496, 26.297133495231947, 26.30394594363515]	[-0.3891810821027543, -0.7578401967061867, 1.613632064825801]	255	255	255
24306	1713.1347043209103	1183.5992842852238	-17.566790338259082	[17, 17, 17, 17, 17, 17, 26]	[0.007216909564426617, 0.0647359632191887, 0.002684553130983559, 0.002721390984932947, 0.008838128266152542, 0.5261314392792096, 0.3869693571331497]	[26.394154412172874, 26.653777549226042, 26.41584540682287]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24315	-757.2945946719719	1258.1889410539497	4.432080725466037	[17, 17, 17, 17, 17, 17, 17]	[0.03754783266991029, 0.13646508693642348, 0.18994929670165409, 0.0014631103539887954, 0.02594638320333139, 0.07232039632471385, 0.5342269971753023]	[26.789064658791915, 25.80549608980712, 26.611027109805228]	[0.0, 0.0, -0.5801233631956515]	255	255	255
24320	-919.4926221442292	1280.5462362735743	3.3574444309023903	[17, 17, 17, 17, 17, 17, 26]	[0.01208078155859925, 0.3044412989915657, 0.00283254260318239, 0.007355278934038232, 0.01678930016904546, 0.6125960487608771, 0.042950940864922835]	[26.224533624978996, 26.296746410994025, 26.044796334750302]	[1.5707963267948966, 0.0, -2.68575173497525]	255	255	255
24337	-698.9358088840313	1337.308347287626	-60.852687233059505	[17, 17, 17, 17, 17, 17, 17]	[0.015517978460542925, 0.0033821282600921374, 0.11675173987850244, 0.10499767239832426, 0.04958513755475695, 0.17704995721804548, 0.5316958724645077]	[27.34072568702584, 25.48171607137906, 26.06953785175022]	[1.5707963267948966, 0.0, -0.04236251107303595]	255	255	255
24345	-2741.3380135206626	1424.0151354373593	37.581881451513496	[17, 17, 17, 17, 17, 20, 17, 26]	[0.0031123494832362634, 0.18919639431999213, 0.004472667801268464, 0.0021593831662940523, 0.00384898158008993, 0.016484865355299326, 0.49833341697622036, 0.28212263478427296]	[26.195955949178266, 26.701695991067986, 27.097251630594087]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24366	-3118.5285948338296	1554.7180201538022	-43.49088054393092	[17, 17, 17, 17, 17, 17, 26]	[0.01601932651786268, 0.05182729425528786, 0.004825842074863861, 0.003435138914047945, 0.01068532213146834, 0.4630952738902485, 0.4482025713760149]	[27.078474877428533, 26.380945861049668, 26.643464589084143]	[-1.5254258413916824, -0.05133937607779024, 1.1233394238328145]	255	255	255
24380	-2889.4089455076055	1694.5595583678469	0.46687939421371993	[17, 17, 17, 17, 17, 20, 17, 26]	[0.013481278859831676, 0.36640368161889914, 0.0011840582505174325, 0.06893895278593117, 0.0014921191772124262, 0.001591711097816684, 0.4522231162189009, 0.09374804511520861]	[26.196107541451696, 26.60194087345409, 25.973791163445732]	[0.0, 0.0, 0.0]	255	255	255
24408	-2962.617015422454	1867.9069310641453	-48.221510551240485	[17, 17, 17, 17, 20, 17, 26]	[0.009341139390168311, 0.18618902901726775, 0.00439038099707183, 0.0022655117030284497, 0.0040603738294282396, 0.7296930945137701, 0.0628898774446939]	[27.038159329348044, 26.348492122152578, 26.597431431483912]	[-0.9644843563643469, 0.27657822068850063, -1.706231888202711]	255	255	255
24433	1508.2456950926075	2099.816173649526	-45.677630300932606	[17, 17, 17, 17, 26]	[0.01392894400574296, 0.32362483706368816, 0.003166422322409859, 0.6368864244912633, 0.020773707216023535]	[27.14776532593567, 28.25277863341745, 26.881678879958287]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24445	-16.481281403056073	2223.115881559286	-60.376594148923	[17, 17, 17, 17, 20, 17, 26]	[0.028598715367659573, 0.0499206744072053, 0.0046486991745994305, 0.0037725249272954693, 0.05215096314855226, 0.5066530092626328, 0.35236297956560103]	[26.995772491409276, 25.653070259549978, 27.797487147693204]	[1.5707963267948966, 0.0, -0.3914213399812375]	255	255	255
24458	-2035.5428788188012	2302.9161694534732	10.1262809072405	[17, 17, 17, 17, 17, 17, 26]	[0.0016371226368621851, 0.2315132805389933, 0.005918697011440241, 0.053623449447595846, 0.0045082380389030625, 0.7006783764667812, 0.0015696117477508366]	[27.078129907373537, 27.54094237372959, 26.54512255503542]	[0.0, 0.0, -2.720206885125412]	255	255	255
24477	-493.7587684955638	2539.299021438099	-55.756850725569464	[17, 17, 17, 17, 17, 17, 26]	[0.017978613681728216, 0.00210667152876033, 0.2958964940443098, 0.0017114803797658622, 0.0024620441677355516, 0.6230250887437736, 0.05567100688623962]	[27.48278030816344, 26.72266121000277, 25.761076093116554]	[-0.07619049054356651, -0.23961122789664116, 0.7414712608999873]	255	255	255
