label	x	y	z	classes	class_prob	sphere_scale	sphere_rotation	r	g	b
61	3800.3080021878627	-1350.3976286107122	-58.31619022938506	[17, 17, 17, 17, 17, 26]	[0.8900125823086209, 0.0025350530819110303, 0.060779435075978105, 0.04197206704154477, 0.002948143138084287, 0.0012417773893448236]	[27.147500083193787, 27.164785384376678, 25.382076979631016]	[0.0, 0.0, 0.0]	255	255	255
74	2210.1977713702813	-1231.565085555751	-54.00215609097339	[17, 17, 17, 17, 17, 17]	[0.9496598902822988, 0.038018075628985584, 0.005799801085714063, 0.0015352684581131032, 0.002437040391895164, 0.0019378267182630516]	[26.124986047934637, 25.449398093482618, 25.640805133094403]	[-1.562010138131848, 0.007460875050968454, 0.262966494075616]	255	255	255
76	2405.0602354624384	-1215.3907410575325	-63.185716222544166	[17, 17, 17, 17, 17, 20, 17, 26]	[0.7058371376417215, 0.1235204344848399, 0.03537074153581508, 0.02423758878295205, 0.00443786855561915, 0.003938762814101512, 0.048608546744738586, 0.052897535866504454]	[25.36404416905758, 27.23589200793543, 26.791506234091894]	[0.0, 1.5707963267948966, 0.0]	255	255	255
84	3320.5826732704904	-1140.1335347865747	-50.38929652045772	[17, 17, 17]	[0.5081049250760276, 0.46236345056261413, 0.02815874910448815]	[29.62826504121281, 28.182546635662874, 25.70672510719192]	[0.04248557356780392, -0.17000428963197303, 0.5972784068853364]	255	255	255
85	2845.805260680471	-1108.3409880034578	-53.80067569509075	[17, 17, 17, 17]	[0.4159109093817008, 0.0012435245298930255, 0.2726375661820549, 0.310207071129187]	[29.781261154611844, 26.84179235440555, 24.93075139996803]	[0.07528186916597147, -0.16126290257230577, 0.34193433000513546]	255	255	255
101	2699.625097641078	-973.4634658671098	-59.63869847729513	[17, 17, 17]	[0.9190788884332726, 0.04933061755203165, 0.030887372543840663]	[29.044096610457487, 27.10665009063012, 24.861420015327596]	[-0.679082312690059, 0.1560779553426413, -0.41361747648820846]	255	255	255
102	2507.0387633264886	-963.3426103597349	-57.51505051179988	[17, 17, 17, 17, 17, 20, 17, 26]	[0.9177126308096653, 0.019124531148204952, 0.0033156702907360183, 0.009188479810817931, 0.0014305295728449826, 0.00287650419889901, 0.03630013418690816, 0.009598350883322915]	[26.756779738632034, 26.388438630424275, 26.283363651064185]	[1.5707963267948966, 0.0, -0.41917081222132013]	255	255	255
109	2634.071790156289	-899.0075381689235	-62.30915668264743	[17, 17, 17]	[0.9260433252573135, 0.0692411345910876, 0.004700439642041942]	[27.204348065200687, 25.314167014638585, 24.522250605981608]	[0.0, 0.0, -0.3892575390062434]	255	255	255
112	3467.9033896810374	-852.8978695428295	-53.422689121927284	[17, 17, 17, 20, 20, 17]	[0.9204214932605971, 0.038048620472556846, 0.0032798762653868095, 0.034309032569936795, 0.0023594632459844936, 0.0010898166082113552]	[28.743429157429336, 26.63030215846122, 25.55089681293994]	[-0.06993215803938081, -0.1795093504562407, 0.9829710760503136]	255	255	255
114	3422.4597876317953	-820.6321935783708	-54.63911609349687	[17, 17, 17]	[0.7133451081757389, 0.12065831795981653, 0.16516418335263505]	[29.248087415522008, 24.685972738351143, 26.484728462262797]	[-1.614316487767127, 0.15236641795288483, 0.4578278915265185]	255	255	255
118	2725.4020623555193	-783.1343117957063	-55.53226081503085	[17, 17, 17, 17, 17, 26]	[0.8682338006684206, 0.0038236828453002236, 0.04058934293362654, 0.040058913297739834, 0.0051439417105623286, 0.04111183428814278]	[26.13867723448299, 27.676898730147975, 27.345593452007808]	[1.5707963267948966, 0.0, -2.4832023899258253]	255	255	255
121	2786.7286450306215	-755.1490353141467	-53.063776395152004	[17, 17, 17, 17, 20, 17, 26]	[0.8320582500527672, 0.0616293586262604, 0.011156565093078271, 0.006417306901580834, 0.0030462076045013864, 0.07113915326000417, 0.012570222383125775]	[27.9692397145935, 26.155040030207374, 25.38858524461385]	[0.06862472083777535, -0.2914757327353899, 1.2459003959058301]	255	255	255
129	2373.1985756059335	-681.8081062232686	-58.70188405272902	[17, 17, 17, 17, 17]	[0.8062094813026205, 0.13022823654086874, 0.05883363584988385, 0.0016453367962356808, 0.0014039640080107678]	[25.641788343323363, 26.802806125904596, 26.774608439959312]	[0.0, 1.5707963267948966, 0.0]	255	255	255
165	3469.2286423753026	-419.12623924277113	-59.61385877707388	[17, 17, 17, 20]	[0.6365818331188715, 0.11227375533197002, 0.24697396577354824, 0.0026689332152348374]	[27.720040063491744, 26.433235313302042, 24.69556603347987]	[-0.010797057330017831, -0.20265162786911395, 1.275147300612562]	255	255	255
168	2335.5674909333216	-405.27697972506076	-62.708570952678926	[17, 17, 17]	[0.8424820440121449, 0.11564819082103737, 0.039636061495823]	[28.22097728315809, 27.360094255755413, 24.61933425140993]	[0.0, 0.0, -0.4645999337412622]	255	255	255
188	2959.3585277330217	-343.9179863033346	-56.580709987038695	[17, 17, 17, 17, 17, 17, 26]	[0.5574116036111443, 0.021651594081556043, 0.02126327477015889, 0.02013445036527053, 0.006911448803183698, 0.07305760737256103, 0.2962519810245439]	[27.50386012716703, 26.905649046060745, 26.224044250311962]	[0.0, 0.0, -0.25739467885672435]	255	255	255
193	3290.115124348889	-278.6826517185118	-20.08915456826759	[17, 17, 17, 17, 17, 17, 26]	[0.8068657996331291, 0.0018482148250645598, 0.09931781988762009, 0.040801187754691555, 0.0022463555144535447, 0.008554383701911545, 0.03901937103929163]	[27.626615650328127, 26.395554236040844, 25.586921425397023]	[-0.20755673985602346, 0.005025474820310089, -0.03895019463230328]	255	255	255
194	2532.5940870334202	-268.3165619161623	-45.16544917199519	[17, 17, 17]	[0.6389341251058976, 0.2837804527373618, 0.07577426660046295]	[30.700204391065174, 25.94224357029512, 25.74510235903436]	[-1.4155288952593221, 0.6291781160110003, -1.6497993166193272]	255	255	255
206	3256.8976494054837	-189.59719496742719	-50.653894460702574	[17, 17, 17, 17, 17, 26]	[0.8791158617597229, 0.0016649724091928263, 0.0700608463195349, 0.03775619903346842, 0.0016617449503773924, 0.008867498244447804]	[26.403898990975613, 27.022625747000085, 27.250288946646446]	[-1.725089300295897, -0.5764342123912074, -1.2182612392514254]	255	255	255
207	2623.0524071586265	-179.53004442726387	-56.78953176016408	[17, 17, 17, 17, 17, 26]	[0.7828466963062118, 0.0037635238647621577, 0.07239506275667343, 0.12253860256491626, 0.004814168162974126, 0.013040262542771927]	[29.189081512361973, 26.755514297288364, 25.883286250450197]	[-0.40798455306375986, -0.03138102938868126, 0.2598564670919295]	255	255	255
226	2616.8637900248527	-69.49264145922416	-54.486641928656645	[17, 17, 17, 20]	[0.8901136751772759, 0.05671184191519555, 0.007437859790509009, 0.04518999028737697]	[26.525503110593927, 24.889282313341646, 27.904104056416564]	[1.5707963267948966, 0.0, -0.42596005332959935]	255	255	255
231	2602.6329646353947	-12.688927808443623	-45.32403866400993	[17, 17, 17, 17]	[0.8112523028998724, 0.005507028539214867, 0.04877796059476748, 0.13438710208048052]	[30.53309957417519, 26.638068425613156, 28.321402650642902]	[-1.724343639577735, 0.21897385313868714, -2.596637583544276]	255	255	255
233	2927.0463438589245	-25.720186943502085	-56.85966449776608	[17, 17, 17, 17]	[0.7956629733874593, 0.00231072863824933, 0.05595561421688193, 0.1448090413719667]	[25.927127179670006, 27.937749277936547, 27.032186470963467]	[0.0, 1.5707963267948966, 0.0]	255	255	255
238	-783.2597126892906	-4114.1755834256455	-56.29734429411889	[17, 17, 20, 21]	[0.8658767484122395, 0.019769119449189604, 0.11181263570644824, 0.0010834333711773284]	[27.695102392192346, 26.35546208148132, 25.952904548358205]	[-0.9093411828928621, -0.2751860992700811, -2.699516760653401]	255	255	255
241	2424.1198212172126	-4107.302234454311	-51.53495137310841	[17, 17, 17, 20, 17, 26]	[0.8617062478988151, 0.015272935788105882, 0.0022070024516003465, 0.11323308098814625, 0.004398852556125989, 0.002797850595852484]	[25.672850105137762, 27.364137598903405, 26.062861312096693]	[1.5707963267948966, 0.0, -2.736717502165288]	255	255	255
245	-1346.2675937546383	-4096.446664734044	-53.69172125189684	[17, 17, 17, 17, 17]	[0.8039009638777277, 0.1461396877968765, 0.010107322001138981, 0.031768479974356445, 0.006954415471285628]	[27.937506847451417, 27.22307199123138, 26.044714037817123]	[0.0004967338103926924, -0.003927755615850411, 0.2135405726963451]	255	255	255
260	2683.871518324287	-4069.551247740629	-55.56963973681162	[17, 17, 17, 17, 17, 17, 17]	[0.6553241626707931, 0.1958962092881646, 0.03646662244490185, 0.037122299164806645, 0.0035841683391626754, 0.00345531012576947, 0.06712255985637623]	[26.310919205404147, 28.414204648461407, 25.435972173567507]	[0.0, 0.0, -2.5064623758330797]	255	255	255
266	2526.6922907217127	-4048.3068932628703	-60.37450988955857	[17, 17, 17, 17, 17]	[0.7645225785367844, 0.1932349163433046, 0.024360315876256793, 0.014042530185672544, 0.0021531671108776743]	[26.48121353467671, 26.02994729600508, 25.47167872961057]	[0.07870517274268561, -0.33562397072771577, -2.096889715607261]	255	255	255
267	-233.5541978079891	-4049.954604307706	-61.46023624272307	[17, 17, 17, 17, 17, 17, 26]	[0.754962089719917, 0.1668857401480696, 0.021564315015311794, 0.01160712710873332, 0.0012207279135644802, 0.02551484152601334, 0.01741723832259394]	[27.258935773303158, 26.114088638311042, 26.041578892984376]	[0.36083295025409684, -0.20451604043505933, 0.37373183070147575]	255	255	255
270	3844.1207395691413	-4027.5572753613183	-45.94478781339197	[17, 17, 17]	[0.8108058186658796, 0.15298189507537194, 0.03588611197433263]	[28.719447710277834, 25.908494872887616, 26.608815871534098]	[-0.40690883384715504, -0.19278535854818957, -2.761488332614286]	255	255	255
273	36.06979266755752	-4007.154279022693	-52.577084039080965	[17, 17, 17]	[0.9132846634007967, 0.07190402210978804, 0.014433332616770652]	[26.753107674216185, 28.468117745951787, 26.65663713854218]	[0.0, 0.0, -3.0319587196162074]	255	255	255
279	-1174.9723067532987	-4009.9399665749875	-59.242632577406354	[17, 17, 17]	[0.7207208155614727, 0.2744276495661002, 0.004514456854732234]	[25.114934610369097, 28.998280789540622, 27.612203243363346]	[-1.6201562531697933, 0.02002458022042768, 1.7157136989659727]	255	255	255
281	-921.9358665402069	-3998.8534831231677	28.99511868852784	[17, 17, 17, 17, 17, 17, 17, 17]	[0.5318224973157584, 0.042599379925397404, 0.014627407792267054, 0.08868038837658725, 0.12339269995683542, 0.021727330740707068, 0.012380527643738655, 0.16434108799181488]	[26.59224584803807, 25.638105050951392, 25.30174428651444]	[-1.6333369582926578, 0.08608034568534374, 0.5509461459594234]	255	255	255
